MS24,ANSC 0233,,MATH 449
MS25,,,FOST 413
MS26,,,BPLM 414
MS27,,,"BCOM 336, BCOM 313"
MS30,,,"AGRI 891,"
LLB1,BLAW 318,BLAW 323,BLAW 325
LLB2,,,
LLB3,BLAW 214,,BLAW 111
PAVH,"BSIS 331, BSIS 210","MATH 846, MATH 949, DBAM 900/DEEM 922,","BSIS 352, BSIS 250"
ROOM,8.30 AM→10.30 AM,11.30 AM→1.30PM,2.30 PM→4.30 PM
SGT1,COSC 110,"PUHE 466, PUHU 133/PUHE 233",BOTA 453
S104,EENG 442,EENG 231,HRIM 374
S105,"NURU 346, NURU 241","NUCH 829, PUHE 831","PUHE 468, NUMS 825"
S203,HRIM 214,"HNDS 221, HNDS 341, HNDS 0232",HRIM 272
S204,"HRIM 486, NUMS 826",ZOOL 332,HRIM 475
S207,NURU 124/NURS 255 ROOM?,PUHE 354,CDEV 422
S302,COSC 340,"COMM 251, COMM 261",BOTA 453
S303,COSC 340,COSC 222,"COSC 312, COSC 331"
S304,PUHE 112,MATH 223,EENG 343
S306,BPLM 102,COSC 222,BSIS 401
S402,GEOG 426,COMM 332,"COMM 270, COMM 262"
S403,EDFO 321,"BIOC 423, BIOC 312, BIOC 203",EDCI 211
S404,GEOG 313,CDEV 421,MATH 243
S408,,BOTA 220,PUHE 232
S502,GEOG 426,CDEV 222,EDCI 211
S503,EDFO 321,COSC 473,EDCI 211
S504,EDFO 321,,EDCI 211
S508,"AGEC 451, ANPT 433",BIOC 100,"ANSC 452, ANPT 443"
S602,ENGL 482,ACSC 271,"COMM 351, COMM 361"
L1,"ECDE 131, ECDE 232, ECDE 432",BMET 442,"ECDE 234, ECDE 412, ECDE 0135"
"",ECDE 0133,,
L2,ECDE 341,EENG 474,ECDE 332
L3,RELI 122,"CDEV 0101, CDEV 00111",
"",,"PPMA 267, PPMA 130, CDEV 0110",
L4,"CRSS 433, CRSS 423, CRSS 443",EENG 455,"CRSS 434, CRSS 436, CRSS 444"
FTC 301,SOCI 313,LITT 357,CRSS 200
FTC 302,SOCI 309,CRSS 330,CDEV 314
FTC 303,"RELI 406, SOCI 331","CDEV 102, CDEV 121","PSYC 460, PSYC 470, PSYC 480, PSYC 332"
FTC 304,HIST 313,GPHY 232,FOST 341
FTC 403,PHIL 341,"AGEC 850, AGBM 831, DEEM 914","NUMS 847, MBAD 815, MEEM 813"
FTC 404,"LAPA 0206, LAPA 0102, AGED 0321","BOTA 980, ZOOL 841",COSC 0103
FTC 502,"PHIL 314, PHIL 434",SOCI 302,"PHIL 333, PHIL 419"
FTC 504,CRSS 0234,"MATH 803, MATH 925,",CRSS 0235
FTC 602A,,BRMT 410,"SOCI 345, SOCI 345/347"
FTC 602B,"SOCI 231, SOCI 241",PSYC 213,
FTC 602C,"SOWK 0225, MSIS 802",AGBM 416,SOWK 0226
FTC 604,FOST 425,CHEM 817,FOST 462
SRP B 01,CHEM 436,MATH 401,COMS 101
SRP B 03,MATH 124,CHEM 102,COMS 101
MSH5,"CRSS 00102, CRSS 0120, CRSS 0230CRSS 0101",ACMT 301,"CRSS 0110, CRSS 0130, CRSS 00103"
MSH6,ACMT 311,AGEC 231,ACMT 402
MSH7,ACMT 413,FNMT 103,
MSH8,"COSC 0170, COSC 00108",ACMT 101,"COSC 0171, COSC 00190"
MSH9,HIST 202,,
MSH10,,,
BSR001,BTOM 111,,MICB 131
BSR201,"DPLM 0217, DPLM 0214",BMET 334,"DIBM 0216, DIBM 0121, DIBM 0141DIBM 0224, DHRM 0253, CPLM 00131"
BSR202,BOTA 314,PHYS 474,"SOIL 210, BOTA 210, HORT 462"
BSR301,BCOM 401,BCOM 161,"BCOM 412, BCOM 422, BCOM 442BCOM 452, BCOM 462, BCOM 435"
BSR302,BCOM 401,BCOM 161,HIST 452
BSR303,BCOM 401,BCOM 161,"BCOM 432,"
BSR401,,BUST 111,BPLM 425
BSR402,COSC 104,"BPLM 324, BCOM 362",ANSC 450
BSR403,COSC 104,"BCOM 353, BCOM 327, BCOM 343BCOM 333,",HIST 447
BSR501,BPLM 421,KISW 404,SOIL 320
BSR502,"DIBM 0111, DIBM 0122, DIAC 0223,COSC 00161, COMP 00161, DPLM 0111DIAC 0226,",BMET 213,"HIST 371, INRE 251, HIST 221"
BSR503,BPLM 311,KISW 404,NURU 161/NURS 261
BSL201,NURS 171,COSC 464,NURS 151
BSL202,"AGEN 341, BIOC 200",,"ANSC 332, NARE 211,"
BSL203,"BCHM 112, BCHM 352, WIEM 101",ACSC 102,BCHM 211
BSL301,BPLM 271,HIST 121,CRSS 101
BSL302,"BCHM 474, BTOM 353, NARE 222",,"BECO 491, NARE 213/220"
BSL303,"BTOM 471, MATH 261",HIST 101,
BSL401,,"RELI 381,",
BSL402,ENSC 253,,
BSL403,,"LITT 414, GEOG 323",MATH 424
BSL501,LITT 101,"BOTA 271,","ANHE 00120, AGEN 0342, ANSC 0260CHEM 0102, AGEC 0243, AGEN 0352HORT 0232, HORT 0362, CHEM 0111BOTA 0101"
BSL502,BTOM 252,BOTA 271,"BECO 372,"
BSL503,LITT 101,,MATH 407
MS03,"AGED 0341, AGRI 0291, MATH 0121CHEM 00102, AGRI 0232, AGRI 0351HORT 0222, HORT 0351, BOTA 0111",,
MS04,BEEM 427,DJMC 0227,BEEM 121
MS05,CDEV 0250,BOTA 352,BCOM 241
MS07,PHIL 110,"SOCI 951, SOCI 861, CRSS 802, CDEV 813",BEEM 436
MS08,BSIS 101,"BIOC 830(5), PHYS 891(6), ANSC 830",ENSC 230
MS09,"WIEM 371, WIEM 426, WIEM 211NARE 331, NARE 452,","BCOM 464, GOVT 245","ENSC 358, ENSC 455,"
MS10,"DTHM 0151, DTHM 0251","DSCM 915, MSCF 813, MPLM 817, MBAD 833ENGL 851, PGDE 762","DTHM 0161, DTHM 0271"
MS17,DTHM 0261,,"DTHM 0272, FOST 0241"
MS20,"CHTM 00301, CHTM 00304",,"CHTM 00302, CHTM 00305"
MS21,NULM 846(20),,COSC 461
MS23,DJMC 0112,,DJMC 0113
MS24,AGBM 343,,"COSC 322, GPHY 352"
MS25,BCOM 231,,AGEC 343
MS26,BCOM 335,,"BCOM 338, BCOM 314"
MS27,BCOM 231,,CDEV 0205
MS30,ZOOL 0130,,"BCOM 325, BCOM 329"
LLB1,BLAW 321,,BLAW 313
LLB2,,,
LLB3,BLAW 115,,BLAW 213
PAVH,BSIS 361,CRSS 240,"BSIS 371, BSIS 261"
ROOM,8.30 AM→10.30 AM,11.30 AM→1.30PM,2.30 PM→4.30 PM
SGT1,PHYS 392,COMM 360,BOTA 302
S104,"PUHE 467, PUHU 161",HRIM 382,NURU 127
S105,"NULM 845(20), NUMS 848(20)","PUHE 832, NUCH 802,","NURU 396, NURU 293"
S203,"HNDS 222, HNDS 342, HNDS 0221",HRIM 225,"HNDS 241, HNDS 361, HNDS 0261"
S204,HRIM 485,EENG 291,HRIM 429
S207,NURS 222,PUHE 364,NURS 283
S302,MATH 101,BOTA 473,MATH 428
S303,COSC 221,"COMM 372,  COMM 431,",ENGL 414
S304,"BOTA 454, BOTA 424",SOCI 314,MATH 324
S306,"KISW 410, INRE 252,  BCOP 251",AGED 415,PSYC 121
S402,CDEV 223,PHYS 475,CDEV 224
S403,EPSC 431,ACSC 477,EDCI 101
S404,CDEV 462,EENG 352,
S406,"BCHM 371,","EENG 112, EPHY 211",
S408,"ECON 442, ECON 424,",PUHE 234,
S502,"BTOM 251,  DWLM 0101",BMET 214,EDCI 101
S503,EPSC 431,"ECON 443,",EDCI 101
S504,EPSC 431,BOTA 111,EDCI 101
S508,"ANSC 454, ANPT 454","COSC 261, GPHY 241","ANSC 472, ANPT 473"
S602,"MATH 405, ACMT 401","ECON 443,",
L1,"ECDE 141, ECDE 241, ECDE 442",BMET 443,
"",ECDE 0145,,
L2,ECDE 321,EENG 481,"ECDE 444, ECDE 0147"
L3,PHIL 231,CRSS 454,"COSC 0251, COSC 0273, COSC 0140"
"",,,COSC 00101
L4,"CDEV 0262, CDEV 00101,",EENG 465,SOCI 319
"","PPMA 214, CDEV 0111",,
FTC 301,"PSYC 461, PSYC 471, PSYC 481,","BCOM 413, BCOM 423, AGBM 302",CRSS 110
"",PSYC 331,"BCOM 453, BCOM 463",
FTC 302,CDEV 315,KISW 201,CDEV 323
FTC 303,ENGL 351,KISW 201,"LITT 341,  RELI 212"
FTC 304,PHIL 221,"CDEV 0261, MSIS 801",CHEM 812
FTC 403,PHIL 362,"MATH 932, DBAM 903, DEEM 912",SOCI 316/317
FTC 404,ECON 231,,BOTA 431
FTC 502,PSYC 221,BSIS 372,"PSYC 462, PSYC 472, PSYC 482"
FTC 504,CRSS 0236,"BOTA 973, BOTA 803, ZOOL 822",CRSS 0240
"",,"AGEC 854, AGBM 861, MICB 801",
FTC 602A,,PSYC 222,BRMT 412
FTC 602B,ACMT 201,MATH 323,SOCI 403
FTC 602C,FOST 232,COMS 0101/COMS 0100,FOST 233
FTC 604,"LAPA 0221, AGEC 315","FOST 463, AGRI 0301","LAPA 0110, AGED 0333, INRE 222"
SRP B 01,MATH 100,AFRE 121,MATH 241
SRP B 03,MATH 100,"CHEM 211, CHEM 332",MATH 241
MSH5,"CRSS 0140, CRSS 0200, CRSS 00104","RELI 205,","CPSY 0111,  CDEV 00107, CDEV 0210"
MSH6,"COSC 0100,",ACMT 411,BCHM 452
MSH7,"PHYS 0111, PHYS 00141",ACMT 102,
MSH8,ECON 412/415,,
MSH9,ECON 412/415,,
MSH10,ECON 412/415,,
BSR001,GEOG 200,GEOG 100,BPLM 321
BSR201,"DIBM 0102, DIBM 0132, DIBM 0217DIAC 0225, DHRM 0252, ECON 00121,DIAC 0222",ACMT 212,"DIAC 0224, DPLM 0211,  DIBM 0101,"
BSR202,"BCOP 301, BCOM 334","BCOM 326, BCOM 356, BCOM 357","BCOP 431, BCOP 241, BCOP 111"
BSR301,BCOM 211,GEOG 100,BCOM 341
BSR302,BCOM 211,"FREN 130, PESP 121, COSC 111",BCOM 341
BSR303,BCOM 211,BCOM 433,BCOM 341
BSR401,,BPLM 411,BCOM 314
